State,Place,City,ImageName
madhya-pradesh,Laxmi Narayan Temple,Orchha,madhya-pradesh_orchha_laxmi_narayan_temple.jpg
madhya-pradesh,Raj Mahal,Orchha,madhya-pradesh_orchha_raj_mahal.jpg
rajasthan,Hawa Mahal,Jaipur,rajasthan_jaipur_hawa_mahal.jpg
madhya-pradesh,Chaturbhuj Temple,Orchha,madhya-pradesh_orchha_chaturbhuj_temple.jpg
rajasthan,Albert Hall,Jaipur,rajasthan_jaipur_albert_hall.jpg
andhra-pradesh,Kumbakarna Park,Anantapur,andhra-pradesh_anantapur_kumbakarna_park.jpg
madhya-pradesh,Chattris,Orchha,madhya-pradesh_orchha_chattris.jpg
andhra-pradesh,Chintala Venkataramana Swamy Temple,Anantapur,andhra-pradesh_anantapur_chintala_venkataramana_swamy_temple.jpg
madhya-pradesh,Rai Praveen Mahal,Orchha,madhya-pradesh_orchha_rai_praveen_mahal.jpg
andhra-pradesh,Lepakshi Temple,Anantapur,andhra-pradesh_anantapur_lepakshi_temple.jpg
madhya-pradesh,Sawan Bhado Pillars,Orchha,madhya-pradesh_orchha_sawan_bhado_pillars.jpg
jammu-and-kashmir,Peer Kho Cave Temple,Jammu,jammu-and-kashmir_jammu_peer_kho_cave_temple.jpg
jammu-and-kashmir,Raghunath Temple,Jammu,jammu-and-kashmir_jammu_raghunath_temple.jpg
sikkim,Tsomgo Lake,Gangtok,sikkim_gangtok_tsomgo_lake.jpg
rajasthan,Bhartrihari Temple,Alwar,rajasthan_alwar_bhartrihari_temple.jpg
rajasthan,Sunehri Kothi,Jaipur,rajasthan_jaipur_sunehri_kothi.jpg
rajasthan,Naldeshwar Shrine,Alwar,rajasthan_alwar_naldeshwar_shrine.jpg
rajasthan,Panna Meena ka Kund,Jaipur,rajasthan_jaipur_panna_meena_ka_kund.jpg
rajasthan,Chomu Palace,Jaipur,rajasthan_jaipur_chomu_palace.jpg
karnataka,Vajrapoha Falls,Belagavi,karnataka_belagavi_vajrapoha_falls.jpg
rajasthan,Central Park,Jaipur,rajasthan_jaipur_central_park.jpg
odisha,Nandapur,Koraput,odisha_koraput_nandapur.jpg
karnataka,Mutaga Belagavi,Belagavi,karnataka_belagavi_mutaga_belagavi.jpg
karnataka,Kheelagav,Belagavi,karnataka_belagavi_kheelagav.jpg
karnataka,Udagatti,Belagavi,karnataka_belagavi_udagatti.jpg
rajasthan,Ram Niwas Garden,Jaipur,rajasthan_jaipur_ram_niwas_garden.jpg
karnataka,Yellur Village,Belagavi,karnataka_belagavi_yellur_village.jpg
karnataka,Sogal Someshwara Temple,Belagavi,karnataka_belagavi_sogal_someshwara_temple.jpg
karnataka,Saundatti Yellamma Temple,Belagavi,karnataka_belagavi_saundatti_yellamma_temple.jpg
karnataka,Military Mahadeva Temple,Belagavi,karnataka_belagavi_military_mahadeva_temple.jpg
rajasthan,Nahargarh Fort,Jaipur,rajasthan_jaipur_nahargarh_fort.jpg
karnataka,Kittur Fort and Palace,Belagavi,karnataka_belagavi_kittur_fort_and_palace.jpg
karnataka,Kamal Basti,Belagavi,karnataka_belagavi_kamal_basti.jpg
karnataka,Halasi,Belagavi,karnataka_belagavi_halasi.jpg
karnataka,Arabavi,Belagavi,karnataka_belagavi_arabavi.jpg
andhra-pradesh,Bugga Ramalingeswara Swamy Temple,Anantapur,andhra-pradesh_anantapur_bugga_ramalingeswara_swamy_temple.jpg
andhra-pradesh,Penukonda Fort,Anantapur,andhra-pradesh_anantapur_penukonda_fort.jpg
sikkim,Baba Harbhajan Singh Memorial,Gangtok,sikkim_gangtok_baba_harbhajan_singh_memorial.jpg
andhra-pradesh,Puttaparthi,Anantapur,andhra-pradesh_anantapur_puttaparthi.jpg
andhra-pradesh,Gooty Fort,Anantapur,andhra-pradesh_anantapur_gooty_fort.jpg
rajasthan,Nahargarh Biological Park,Jaipur,rajasthan_jaipur_nahargarh_biological_park.jpg
rajasthan,Moti Doongri,Jaipur,rajasthan_jaipur_moti_doongri.jpg
maharashtra,Gagangiri Maharaj Math,Kolhapur,maharashtra_kolhapur_gagangiri_maharaj_math.jpg
rajasthan,Mahi Dam,Jaipur,rajasthan_jaipur_mahi_dam.jpg
rajasthan,Mehrangarh Fort,Jodhpur,rajasthan_jodhpur_mehrangarh_fort.jpg
rajasthan,Madareshwar,Jaipur,rajasthan_jaipur_madareshwar.jpg
rajasthan,Kanak Vrindavan,Jaipur,rajasthan_jaipur_kanak_vrindavan.jpg
rajasthan,Jawahar Circle,Jaipur,rajasthan_jaipur_jawahar_circle.jpg
odisha,Onakadelli,Koraput,odisha_koraput_onakadelli.jpg
madhya-pradesh,Pandav Falls,Khajuraho,madhya-pradesh_khajuraho_pandav_falls.jpg
madhya-pradesh,Ajaigarh Fort,Khajuraho,madhya-pradesh_khajuraho_ajaigarh_fort.jpg
meghalaya,David Scott Trail,Shillong,meghalaya_shillong_david_scott_trail.jpg
meghalaya,Elephant Falls,Shillong,meghalaya_shillong_elephant_falls.jpg
meghalaya,Ward’s Lake,Shillong,wards-lake-shillong2-meghalaya-attr-hero.jpeg
meghalaya,Cathedral of Mary Help of Christians,Shillong,meghalaya_shillong_cathedral_of_mary_help_of_christians.jpg
haryana,Museo Camera,Gurugram,haryana_gurugram_museo_camera.jpg
haryana,Baoli Ghaus Ali Shah,Gurugram,haryana_gurugram_baoli_ghaus_ali_shah.jpg
haryana,Shish Mahal,Gurugram,haryana_gurugram_shish_mahal.jpg
meghalaya,Don Bosco Museum,Shillong,meghalaya_shillong_don_bosco_museum.jpg
meghalaya,Phan Nonglait Park,Shillong,meghalaya_shillong_phan_nonglait_park.jpg
meghalaya,All Saints' Church,Shillong,meghalaya_shillong_all_saints_church.jpg
madhya-pradesh,Devi Jagadambi Temple,Khajuraho,madhya-pradesh_khajuraho_devi_jagadambi_temple.jpg
madhya-pradesh,Parvati Temple,Khajuraho,madhya-pradesh_khajuraho_parvati_temple.jpg
madhya-pradesh,Duladeo Temple,Khajuraho,madhya-pradesh_khajuraho_duladeo_temple.jpg
madhya-pradesh,Chitragupta Temple,Khajuraho,madhya-pradesh_khajuraho_chitragupta_temple.jpg
arunachal-pradesh,Dzogchen Samtan Choeling Monastery,Mechuka,arunachal-pradesh_mechuka_dzogchen_samtan_choeling_monastery.jpg
arunachal-pradesh,Samten Yongcha Monastery,Mechuka,arunachal-pradesh_mechuka_samten_yongcha_monastery.jpg
