CITY,MONUMENT,YEAR_2019_20,YEAR_2020_21,YEAR_2021_22,YEAR_2022_23,YEAR_2023_24,GROWTH_2020_21_VS_2019_20,GROWTH_2021_22_VS_2020_21,GROWTH_2022_23_VS_2021_22,GROWTH_2023_24_VS_2022_23
Srinagar,Avantiswamin Temple Avantipur District Pulwama,9939.0,5706.0,24957.0,44336.0,43389.0,-42.6,337.4,77.6,-2.1
Srinagar,Group of Temples at kiramchi District Udhampur,5731.0,5816.0,7383.0,8225.0,16807.0,1.5,26.9,11.4,104.3
Srinagar,Palace Complex at Ramnagar Distt. Udhampur,6610.0,2129.0,5595.0,5584.0,6737.0,-67.8,162.8,-0.2,20.6
Thrissur,Bekal Fort Pallikkare Distt. Kasargod,334846.0,115333.0,200127.0,384008.0,366905.0,-65.6,73.5,91.9,-4.5
Thrissur,Fort Palakkad Palakkad,174589.0,43927.0,96142.0,258812.0,295091.0,-74.8,118.9,169.2,14.0
Thrissur,Fort St. Angelo Kannur,234518.0,65683.0,152543.0,270433.0,240382.0,-72.0,132.2,77.3,-11.1
Thrissur,Mattancherry Palace Museum Kochi,300465.0,23026.0,65066.0,281735.0,0.0,-92.3,182.6,333.0,-100.0
Tiruchirappalli,Fort Museum Thirumayam,294829.0,41487.0,62622.0,93833.0,93109.0,-85.9,50.9,49.8,-0.8
Tiruchirappalli,Fort Vattakottai,159492.0,5058.0,53200.0,106838.0,114090.0,-96.8,951.8,100.8,6.8
Tiruchirappalli,Fort on Rock Dindigual,24657.0,25603.0,27368.0,36071.0,31763.0,3.8,6.9,31.8,-11.9
Tiruchirappalli,Moovarkoil Kodumbalur,19114.0,1476.0,829.0,1874.0,2277.0,-92.3,-43.8,126.1,21.5
Tiruchirappalli,Natural Caven with inscription eladipattam Sittannavasal,23928.0,2490.0,22800.0,19705.0,20314.0,-89.6,815.7,-13.6,3.1
Tiruchirappalli,Rock-cut Jain Temple Sittannavasasl,31876.0,41791.0,44408.0,56425.0,54583.0,31.1,6.3,27.1,-3.3
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046.0,217.0,530.0,856.0,911.0,-99.3,144.2,61.5,6.4
Vadodara,Champaner Monuments Pavagadh,59402.0,39014.0,61303.0,65547.0,56675.0,-34.3,57.1,6.9,-13.5
Vadodara,Rani Ki-Vav Patan,337134.0,96900.0,268628.0,351767.0,365892.0,-71.3,177.2,30.9,4.0
Vadodara,Rudabai Step Well Adalaj,388042.0,86840.0,267707.0,369961.0,378847.0,-77.6,208.3,38.2,2.4
Vadodara,Sun temple Modhera,208028.0,85407.0,224982.0,379560.0,391694.0,-58.9,163.4,68.7,3.2
